,IdMaterial,IdCeSum,2021/12,2022/1,2022/10,2022/11,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,Porcentaje,Provision,LeadTime,Sucursal,ABC_Sucursal,ABC,Margen_Total,Margen_Suc,UMBase,MAPE,AcumProy,AcumEsp,AcumPost,MeanSupply,Trim Proy 2022/12 - 2023/2,Trim Proy 2023/3 - 2023/5,DdaProy 2022/12,DdaProy 2023/1,DdaProy 2023/2,DdaProy 2023/3,DdaProy 2023/4,DdaProy 2023/5,PeriodROP,MeanSupply2,StdSupply2,DdaAnual,Trim 2021/12 - 2022/2,Trim 2022/3 - 2022/5,Trim 2022/6 - 2022/8,Trim 2022/9 - 2022/11,ServiceLevel
3,14000003,D120,0.002,0.002,0.008,0.008,0.008,0.008,0.014,0.014,0.02,0.024,0.016,0.012,0.006415094339622642,Centralizado,9,Temuco,C,A,0.1018444201716394,0.0157949979125516,T   ,0.12273580373591252,0.06160419922027852,0.048,0.088,0.010267366536713087,0.026749672273041026,0.03485452694723749,0.008211320754716983,0.009173584905660379,0.009430188679245284,0.00968679245283019,0.010969811320754717,0.014177358490566038,1.0,0.004379371069182391,0.0009200123664379686,0.14964905660377362,0.012,0.036,0.06,0.028,0.9
4,14000003,D130,0.008,0.004,0.022,0.006,0.008,0.018,0.014,0.016,0.01,0.034,0.01,0.01,0.007547169811320755,Centralizado,9,Panguipulli,B,A,0.1018444201716394,0.0432395066472079,T   ,0.12273580373591252,0.07247552849444532,0.068,0.092,0.012079254749074219,0.03147020267416591,0.041005325820279395,0.009660377358490567,0.01079245283018868,0.01109433962264151,0.01139622641509434,0.012905660377358491,0.016679245283018868,1.0,0.005152201257861635,0.0010823674899270218,0.16452830188679246,0.02,0.048,0.054000000000000006,0.038,0.95
5,14000003,D150,0.076,0.004,0.142,0.0,0.062,0.042,0.06,0.07,0.086,0.23,0.092,0.146,0.04764150943396227,Centralizado,9,Valdivia,B,A,0.1018444201716394,0.0580475089255881,T   ,0.12273580373591252,0.45750177362118605,0.31400000000000006,0.6960000000000001,0.07625029560353101,0.19865565438067231,0.2588461192405137,0.060981132075471706,0.06812735849056605,0.07003301886792453,0.07193867924528302,0.08146698113207547,0.10528773584905661,1.0,0.03252327044025158,0.006832444780164326,1.1538349056603772,0.14200000000000002,0.17200000000000001,0.40800000000000003,0.288,0.95
6,14000003,D160,0.004,0.008,0.004,0.002,0.004,0.004,0.002,0.002,0.01,0.018,0.004,0.008,0.00330188679245283,Centralizado,9,Los Lagos,C,A,0.1018444201716394,0.0126715795285745,T   ,0.12273580373591252,0.03170804371631982,0.024,0.046,0.005284673952719971,0.013768213669947585,0.017939830046372233,0.004226415094339623,0.0047216981132075465,0.00485377358490566,0.004985849056603773,0.005646226415094339,0.007297169811320754,1.0,0.0022540880503144653,0.00047353577684307205,0.07773113207547169,0.016,0.008,0.032,0.014,0.9
7,14000003,D170,0.002,0.002,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037735849056603777,Centralizado,9,Futrono,C,A,0.1018444201716394,0.0114875820889006,T   ,0.12273580373591252,0.003623776424722266,0.008,0.0,0.000603962737453711,0.0015735101337082957,0.00205026629101397,0.00048301886792452835,0.000539622641509434,0.0005547169811320756,0.000569811320754717,0.0006452830188679246,0.0008339622641509435,1.0,0.00025761006289308177,5.41183744963511e-05,0.003626415094339623,0.008,0.0,0.0,0.0,0.9
8,14000003,D180,0.002,0.142,0.062,0.006,0.124,0.1,0.036,0.168,0.084,0.152,0.076,0.066,0.0480188679245283,Centralizado,9,Rio Bueno,B,A,0.1018444201716394,0.0750196818519984,T   ,0.12273580373591252,0.4611255500459083,0.572,0.446,0.07685425834098472,0.2002291645143806,0.26089638553152766,0.061464150943396224,0.06866698113207546,0.0705877358490566,0.07250849056603774,0.08211226415094339,0.10612169811320754,1.0,0.03278088050314465,0.006886563154660677,0.9074613207547171,0.268,0.30400000000000005,0.312,0.134,0.95
9,14000003,D190,0.006,0.002,0.022,0.0199999999999999,0.0,0.01,0.006,0.008,0.012,0.042,0.044,0.028,0.00943396226415094,Centralizado,9,Osorno,C,A,0.1018444201716394,0.0022247359306858,T   ,0.12273580373591252,0.0905944106180566,0.032,0.1679999999999999,0.015099068436342768,0.03933775334270737,0.05125665727534922,0.012075471698113203,0.013490566037735843,0.013867924528301882,0.014245283018867919,0.016132075471698107,0.020849056603773578,1.0,0.006440251572327042,0.0013529593624087767,0.2586603773584904,0.008,0.024,0.098,0.0699999999999999,0.9
10,14000003,D210,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.048,0.088,0.192,0.06,0.072,0.02216981132075472,Centralizado,120,,B,B,,,T   ,0.12273580373591252,0.21289686495243312,0.048,0.42200000000000004,0.03548281082540552,0.09244372035536237,0.12045314459707074,0.02837735849056604,0.03170283018867925,0.032589622641509434,0.03347641509433963,0.037910377358490566,0.04899528301886793,4.0,0.13499198113207547,0.01009362509573231,0.6350518867924528,0.0,0.048,0.34,0.08199999999999999,0.95
11,14000003,D220,0.004,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.026,0.03,0.008,0.002,0.003490566037735849,Centralizado,9,Purranque,C,A,0.1018444201716394,0.0046104425540243,T   ,0.12273580373591252,0.033519931928680954,0.006,0.068,0.005586655321446826,0.014554968736801732,0.01896496319187922,0.0044679245283018865,0.004991509433962264,0.0051311320754716975,0.0052707547169811315,0.005968867924528301,0.007714150943396226,1.0,0.002382893081761006,0.0005005949640912475,0.1015443396226415,0.004,0.002,0.064,0.004,0.9
12,14000003,D230,0.002,0.002,0.0,0.0,0.0,0.002,0.004,0.002,0.002,0.004,0.0,0.004,0.0010377358490566038,Centralizado,9,Frutillar,C,A,0.1018444201716394,0.0067256957309415,T   ,0.12273580373591252,0.009965385167986231,0.012,0.01,0.0016608975279977052,0.004327152867697813,0.005638232300288417,0.0013283018867924529,0.0014839622641509434,0.0015254716981132075,0.0015669811320754717,0.0017745283018867925,0.002293396226415094,1.0,0.0007084276729559749,0.00014882552986496552,0.019972641509433963,0.004,0.008,0.006,0.004,0.9
