,Unnamed: 0,SKU,Params,Score
0,0,10000013,"(3, 0.29, 0, 0, 3, 0)",0.06476861241964071
1,0,10000048,"(4, 0.09, 0, 0, 4, 3)",0.33812995005520136
2,0,10000060,"(4, 0.21, 0, 0, 1, 2)",0.0813052983049737
3,0,10000097,"(2, 0.29, 0, 0, 1, 3)",0.0807902598404013
4,0,10000114,"(4, 0.25, 0, 0, 3, 3)",0.10108708603502506
5,0,10000139,"(3, 0.29, 0, 0, 1, 2)",0.09951243590439351
6,0,10000159,"(4, 0.29, 0, 0, 2, 3)",0.12524866497169032
7,0,10000178,"(4, 0.09, 0, 0, 3, 3)",0.06380421699202876
8,0,10000206,"(4, 0.17, 0, 0, 2, 3)",0.08518906079401
9,0,10000216,"(2, 0.13, 0, 0, 3, 3)",0.1354971060426426
10,0,10000333,"(3, 0.29, 0, 0, 3, 3)",0.07242216821953955
11,0,10000422,"(3, 0.29, 0, 0, 1, 3)",0.11664602744070643
12,0,10000517,"(2, 0.13, 0, 0, 4, 0)",0.06386521045827581
13,0,10000529,"(4, 0.01, 0, 0, 4, 2)",0.08815621242159506
14,0,10000571,"(4, 0.25, 0, 0, 1, 0)",0.33225836048196533
15,0,10000572,"(4, 0.25, 0, 0, 2, 0)",0.3418536250151796
16,0,10000595,"(4, 0.29, 0, 0, 3, 3)",0.26948153894076055
17,0,10000601,"(4, 0.05, 0, 0, 3, 2)",0.09494787587553145
18,0,10000602,"(3, 0.17, 0, 0, 1, 2)",0.18431373935607034
19,0,10000637,"(4, 0.25, 0, 0, 4, 3)",0.10220490205638234
20,0,10000657,"(3, 0.25, 0, 0, 1, 2)",0.10194531888582531
21,0,10000720,"(4, 0.01, 0, 0, 1, 2)",0.1218807383381282
22,0,10000835,"(2, 0.01, 0, 0, 1, 3)",0.12763521212614087
23,0,10000837,"(3, 0.25, 0, 0, 1, 3)",0.2457348030190536
24,0,10000839,"(2, 0.29, 0, 0, 3, 3)",0.15037523998381286
25,0,10000923,"(3, 0.21, 0, 0, 2, 0)",0.2114938833581879
26,0,10000932,"(4, 0.01, 0, 0, 3, 2)",0.33872236361707786
27,0,10000949,"(3, 0.29, 0, 0, 1, 0)",0.10252724646474996
28,0,10000950,"(3, 0.25, 0, 0, 2, 2)",0.21141385268697727
29,0,10000956,"(2, 0.01, 0, 0, 1, 2)",0.13304665412068348
30,0,10000969,"(2, 0.21, 0, 0, 2, 3)",0.112061068557199
31,0,10001014,"(2, 0.25, 0, 0, 1, 3)",0.07584727068528768
32,0,10001026,"(2, 0.01, 0, 0, 3, 0)",0.14892804176607274
33,0,10001029,"(4, 0.21, 0, 0, 1, 0)",0.1270783583115905
34,0,10001115,"(3, 0.21, 0, 0, 4, 3)",0.1065257695585876
35,0,10001118,"(4, 0.17, 0, 0, 2, 2)",0.09554196516685101
36,0,10001516,"(4, 0.21, 0, 0, 3, 3)",0.19981258146954392
37,0,10001598,"(2, 0.01, 0, 0, 4, 0)",0.1743799891231808
38,0,11000046,"(2, 0.17, 0, 0, 1, 2)",0.1040615409482873
39,0,11000073,"(4, 0.09, 0, 0, 1, 3)",0.10903342861862944
40,0,11000074,"(4, 0.29, 0, 0, 2, 2)",0.21103321674692424
41,0,11000331,"(3, 0.25, 0, 0, 2, 3)",0.1358820030151399
42,0,11000332,"(4, 0.17, 0, 0, 1, 2)",0.13293455669813234
43,0,11000355,"(4, 0.29, 0, 0, 1, 2)",0.1503788355611904
44,0,11000374,"(4, 0.29, 0, 0, 1, 0)",0.25147589715066254
45,0,11000375,"(3, 0.17, 0, 0, 1, 0)",0.20852028539215162
46,0,11000376,"(3, 0.17, 0, 0, 3, 0)",0.2662358065215942
47,0,11000377,"(4, 0.09, 0, 0, 1, 2)",0.2671725270712316
48,0,11000995,"(4, 0.05, 0, 0, 2, 3)",0.1359650871389566
49,0,11000996,"(4, 0.01, 0, 0, 4, 2)",0.14288540606844125
50,0,11001027,"(2, 0.29, 0, 0, 3, 2)",0.15041622257891243
51,0,11001035,"(2, 0.01, 0, 0, 3, 2)",0.07551070202360335
52,0,11001172,"(4, 0.05, 0, 0, 4, 3)",0.13559794205763767
53,0,11001980,"(3, 0.21, 0, 0, 1, 0)",0.1850988615522543
54,0,11002216,"(2, 0.01, 0, 0, 3, 2)",0.21370067546697957
55,0,11002219,"(4, 0.13, 0, 0, 2, 3)",0.2556240669545754
56,0,11002591,"(2, 0.09, 0, 0, 2, 3)",0.10814625143818798
57,0,11002723,"(2, 0.25, 0, 0, 4, 2)",0.17381402156572198
58,0,11002724,"(4, 0.21, 0, 0, 3, 3)",0.17550279956591014
59,0,11003490,"(3, 0.25, 0, 0, 2, 3)",0.19199809196067968
60,0,11003491,"(4, 0.29, 0, 0, 4, 0)",0.06484660518579176
61,0,11003493,"(2, 0.21, 0, 0, 1, 3)",0.12584383160775867
62,0,11003514,['Insuficiente Data'],inf
63,0,12000005,"(4, 0.13, 0, 0, 1, 2)",0.24799219387487872
64,0,12000027,"(4, 0.21, 0, 0, 1, 2)",0.278725728789037
65,0,12000115,"(2, 0.21, 0, 0, 3, 2)",0.36335287099023783
66,0,12000149,['Insuficiente Data'],inf
67,0,12000204,"(4, 0.13, 0, 0, 2, 0)",0.612584134652641
68,0,12000293,"(2, 0.21, 0, 0, 3, 3)",0.2441037620281087
69,0,12000298,"(3, 0.29, 0, 0, 4, 3)",0.31371387582419685
70,0,12000305,"(4, 0.13, 0, 0, 1, 0)",0.9293154468512442
71,0,12000314,"(3, 0.09, 0, 0, 2, 3)",0.35008884354613445
72,0,12000317,"(4, 0.29, 0, 0, 3, 3)",0.25513206098518637
73,0,12000358,"(2, 0.01, 0, 0, 2, 2)",0.3548847032479671
74,0,12000437,"(2, 0.13, 0, 0, 1, 0)",0.19353654523876973
75,0,12000455,"(3, 0.29, 0, 0, 1, 2)",0.7753679915346456
76,0,12000496,"(4, 0.29, 0, 0, 3, 0)",0.1483880077645489
77,0,12000501,"(4, 0.09, 0, 0, 2, 3)",0.15350177638986975
78,0,12000540,"(2, 0.21, 0, 0, 2, 3)",0.3663347526852094
79,0,12000541,"(3, 0.13, 0, 0, 1, 3)",0.16490307754296613
80,0,12000542,"(4, 0.21, 0, 0, 3, 2)",0.1112232676164056
81,0,12000545,['Insuficiente Data'],inf
82,0,12000559,['Insuficiente Data'],inf
83,0,12000580,"(2, 0.09, 0, 0, 1, 2)",0.22678966625623462
84,0,12000590,"(2, 0.09, 0, 0, 1, 2)",0.2758247232972833
85,0,12000591,"(2, 0.01, 0, 0, 4, 2)",0.4490198573479433
86,0,12000609,"(4, 0.13, 0, 0, 1, 0)",0.3175041683501859
87,0,12000610,"(3, 0.29, 0, 0, 2, 2)",0.2986235529255229
88,0,12000611,['Insuficiente Data'],inf
89,0,12000631,['Insuficiente Data'],inf
90,0,12000639,['Insuficiente Data'],inf
91,0,12000643,['Insuficiente Data'],inf
92,0,12000656,"(2, 0.29, 0, 0, 1, 2)",0.1521085828548854
93,0,12000662,"(4, 0.29, 0, 0, 1, 3)",0.21968881328228362
94,0,12000666,"(2, 0.29, 0, 0, 1, 2)",0.28304833976142196
95,0,12000673,"(2, 0.01, 0, 0, 1, 3)",0.4301925144272077
96,0,12000697,"(4, 0.29, 0, 0, 1, 0)",0.3695372997755612
97,0,12000701,"(2, 0.01, 0, 0, 2, 2)",0.33073921026054487
98,0,12000705,"(2, 0.01, 0, 0, 4, 0)",0.25026874284344036
99,0,12000707,"(2, 0.29, 0, 0, 4, 3)",0.124487077098268
100,0,12000708,"(2, 0.29, 0, 0, 1, 0)",0.16740567468043172
101,0,12000709,"(4, 0.09, 0, 0, 1, 2)",0.21480161682348423
102,0,12000710,"(2, 0.13, 0, 0, 4, 2)",0.1571641424924191
103,0,12000720,"(2, 0.29, 0, 0, 2, 0)",0.143932584654602
104,0,12000752,"(3, 0.21, 0, 0, 4, 3)",0.24285992376807064
105,0,12000754,"(3, 0.09, 0, 0, 1, 1)",0.38166259787302836
106,0,12000853,"(2, 0.09, 0, 0, 2, 3)",0.3184777541934964
107,0,12000855,"(2, 0.29, 0, 0, 3, 0)",0.3113532947628395
108,0,12000908,"(4, 0.25, 0, 0, 4, 2)",0.6505230903941328
109,0,12699991,"('Insuficiente Data', 0)",inf
110,0,13000009,"(3, 0.01, 0, 0, 3, 2)",0.6014639441774325
111,0,13000019,"(3, 0.25, 0, 0, 1, 0)",0.230757577497191
112,0,13000063,"(3, 0.29, 0, 0, 3, 2)",0.2883024600739326
113,0,13000098,"(4, 0.29, 0, 0, 1, 3)",0.11876496255364881
114,0,13000099,"(3, 0.29, 0, 0, 1, 2)",0.13665338084912745
115,0,13000120,"(3, 0.29, 0, 0, 1, 0)",0.3177036736787026
116,0,13000121,"(3, 0.17, 0, 0, 3, 0)",0.11715636197761962
117,0,13000122,"(4, 0.21, 0, 0, 2, 0)",0.25845720047072995
118,0,13000147,"(4, 0.25, 0, 0, 4, 2)",0.375826450444078
119,0,13000149,"(2, 0.29, 0, 0, 3, 3)",0.364225006045924
120,0,13000222,"(4, 0.29, 0, 0, 1, 0)",0.23298319446501517
121,0,13000232,"(3, 0.21, 0, 0, 4, 0)",0.339337049058115
122,0,13000233,"(4, 0.01, 0, 0, 3, 2)",0.40471763802868854
123,0,13000234,"(3, 0.29, 0, 0, 2, 3)",0.25313827022556173
124,0,13000236,"(3, 0.21, 0, 0, 2, 3)",0.1410687616374821
125,0,13000237,"(4, 0.09, 0, 0, 4, 2)",0.19871437690325097
126,0,13000277,"(3, 0.29, 0, 0, 1, 2)",0.5069882006594895
127,0,13000421,"(4, 0.17, 0, 0, 1, 0)",0.41205840430626706
128,0,13000463,['Insuficiente Data'],inf
129,0,13000562,"(2, 0.17, 0, 0, 1, 2)",0.40313085831140366
130,0,14000003,"(3, 0.21, 0, 0, 3, 0)",0.16770409330783376
131,0,14000004,"(3, 0.01, 0, 0, 2, 0)",0.15627196681650837
132,0,14000006,"(2, 0.17, 0, 0, 3, 0)",0.1987723875777867
133,0,14000007,"(2, 0.01, 0, 0, 4, 0)",0.026673436480597133
134,0,14000012,"(2, 0.05, 0, 0, 2, 0)",0.30783942925099217
135,0,14000016,"(3, 0.17, 0, 0, 2, 2)",0.27980320180431195
136,0,14000018,"(4, 0.05, 0, 0, 4, 0)",0.270540610696377
137,0,14000020,"(4, 0.21, 0, 0, 2, 2)",0.3462405669246741
138,0,14000025,"(3, 0.01, 0, 0, 2, 2)",0.36156802740458377
139,0,14000027,"(3, 0.01, 0, 0, 4, 2)",0.1845733128541642
140,0,14000031,"(2, 0.29, 0, 0, 4, 3)",0.2603568709763716
141,0,14000032,"(2, 0.21, 0, 0, 4, 3)",0.14940334497994515
142,0,14000033,"(2, 0.17, 0, 0, 3, 3)",0.07529231262027249
143,0,14000042,"(2, 0.25, 0, 0, 3, 0)",0.12583500804159373
144,0,14000071,"(2, 0.29, 0, 0, 1, 3)",0.14859366137696517
145,0,14000072,"(3, 0.25, 0, 0, 2, 2)",0.032476515140199454
146,0,14000075,"(3, 0.29, 0, 0, 3, 3)",0.20142014794298405
147,0,14000078,"(2, 0.01, 0, 0, 1, 3)",0.2817700972599514
