,IdMaterial,Sucursal,IdCeSum,ABC_Sucursal,Margen_Suc,ABC,Margen_Total
0,12000358,Los Lagos,D160,A,3.661572639406417,A,1.020055421244683
1,12000358,Osorno,D190,A,0.8137483149638007,A,1.020055421244683
2,12000358,Puerto Varas,D240,A,0.5540539701181614,A,1.020055421244683
3,12000358,Purranque,D220,A,0.27178595416834916,A,1.020055421244683
4,12000358,Los Angeles,D110,A,3.197280824290154,A,1.020055421244683
5,12000358,Frutillar,D230,C,0.0,A,1.020055421244683
6,12000358,Futrono,D170,A,4.356887115809235,A,1.020055421244683
7,12000358,Temuco,D120,C,0.0,A,1.020055421244683
8,12000358,Valdivia,D150,A,0.780853941273835,A,1.020055421244683
9,12000358,Los Muermos,D250,A,2.620100342154572,A,1.020055421244683
10,12000358,Rio Bueno,D180,B,0.12457044801496112,A,1.020055421244683
11,12000710,Los Lagos,D160,A,2.997038894889775,A,0.9918155800088269
12,12000710,Osorno,D190,A,0.38330973186656503,A,0.9918155800088269
13,12000710,Puerto Montt,D260,A,7.901438422232365,A,0.9918155800088269
14,12000710,Puerto Varas,D240,A,0.8422793711495539,A,0.9918155800088269
15,12000710,Purranque,D220,A,0.8755021895244313,A,0.9918155800088269
16,12000710,Ancud,D270,A,1.4552226951430014,A,0.9918155800088269
17,12000710,Frutillar,D230,A,0.48607988532619556,A,0.9918155800088269
18,12000710,Futrono,D170,A,1.8318799858967723,A,0.9918155800088269
19,12000710,Mafil,D140,A,5.458271817627072,A,0.9918155800088269
20,12000710,Panguipulli,D130,A,4.545333088784535,A,0.9918155800088269
21,12000710,Temuco,D120,A,0.14551323149225606,A,0.9918155800088269
22,12000710,Valdivia,D150,A,2.0559814994051386,A,0.9918155800088269
23,12000710,Los Muermos,D250,A,0.5641824096978754,A,0.9918155800088269
24,12000710,Rio Bueno,D180,A,0.7620632530915342,A,0.9918155800088269
25,12000314,Los Lagos,D160,A,2.7890181618754983,A,0.5569535935814136
26,12000314,Osorno,D190,A,0.27346259029125175,A,0.5569535935814136
27,12000314,Purranque,D220,C,0.0,A,0.5569535935814136
28,12000314,Los Angeles,D110,A,12.59243006201025,A,0.5569535935814136
29,12000314,Futrono,D170,A,2.0190274941762496,A,0.5569535935814136
30,12000314,Mafil,D140,A,0.5219903860686201,A,0.5569535935814136
31,12000314,Panguipulli,D130,A,1.2632024891198053,A,0.5569535935814136
32,12000314,Temuco,D120,B,0.050507659641033466,A,0.5569535935814136
33,12000314,Valdivia,D150,A,0.938927581313408,A,0.5569535935814136
34,12000314,Los Muermos,D250,A,0.8884229855905432,A,0.5569535935814136
35,12000314,Rio Bueno,D180,B,0.045724192362756294,A,0.5569535935814136
36,13000234,Los Lagos,D160,A,2.514962035549713,A,0.8088378513864303
37,13000234,Osorno,D190,A,0.48175887158821207,A,0.8088378513864303
38,13000234,Puerto Varas,D240,A,0.9480421474978791,A,0.8088378513864303
39,13000234,Purranque,D220,A,2.1385741584159406,A,0.8088378513864303
40,13000234,Chimbarongo,D100,A,1.441568368093942,A,0.8088378513864303
41,13000234,Los Angeles,D110,A,0.4659389473319576,A,0.8088378513864303
42,13000234,Ancud,D270,A,1.2871995608275353,A,0.8088378513864303
43,13000234,Frutillar,D230,A,0.2665034683775747,A,0.8088378513864303
44,13000234,Futrono,D170,A,1.8223372920758556,A,0.8088378513864303
45,13000234,Mafil,D140,A,0.44096382526079053,A,0.8088378513864303
46,13000234,Panguipulli,D130,A,0.3624508583361412,A,0.8088378513864303
47,13000234,Valdivia,D150,A,0.8376516274538363,A,0.8088378513864303
48,13000234,Los Muermos,D250,A,0.7667750147871251,A,0.8088378513864303
49,13000234,Rio Bueno,D180,A,1.4639468945278742,A,0.8088378513864303
50,13000234,Santiago,D090,C,0.0021082708808616095,A,0.8088378513864303
51,12000455,Los Lagos,D160,A,2.2734741899855195,A,0.1758188908183832
52,12000455,Osorno,D190,A,0.34929146724888327,A,0.1758188908183832
53,12000455,Ancud,D270,B,0.0766165767682706,A,0.1758188908183832
54,12000455,Los Muermos,D250,B,0.045650086321464736,A,0.1758188908183832
55,12000317,Los Lagos,D160,A,1.5643228252337997,A,0.265622309496315
56,12000317,Osorno,D190,B,0.03577643964307197,A,0.265622309496315
57,12000317,Puerto Montt,D260,A,0.36207679564410783,A,0.265622309496315
58,12000317,Puerto Varas,D240,A,0.3713275411930534,A,0.265622309496315
59,12000317,Purranque,D220,A,0.20629949561496636,A,0.265622309496315
60,12000317,Futrono,D170,A,4.041367253842441,A,0.265622309496315
61,12000317,Panguipulli,D130,B,0.04404599376987099,A,0.265622309496315
62,12000317,Valdivia,D150,A,0.46257291335554557,A,0.265622309496315
63,12000317,Los Muermos,D250,B,0.3922755540032988,A,0.265622309496315
64,12000317,Rio Bueno,D180,A,0.5845116494344819,A,0.265622309496315
65,20000009,Los Lagos,D160,A,1.5117577294546376,A,0.8926069127304599
66,20000009,Osorno,D190,A,0.6281120171565769,A,0.8926069127304599
67,20000009,Puerto Montt,D260,A,2.382551535043462,A,0.8926069127304599
68,20000009,Puerto Varas,D240,A,1.592862610835222,A,0.8926069127304599
69,20000009,Purranque,D220,A,0.3688408294820191,A,0.8926069127304599
70,20000009,Los Angeles,D110,A,0.7748979737924999,A,0.8926069127304599
71,20000009,Ancud,D270,A,2.2136468040110695,A,0.8926069127304599
72,20000009,Frutillar,D230,B,0.13848172367035086,A,0.8926069127304599
73,20000009,Futrono,D170,A,0.8454057026961747,A,0.8926069127304599
74,20000009,Mafil,D140,A,0.8164170185615528,A,0.8926069127304599
