,CentroSuministrador,Periodo,MesPeriodo,IdPeriodo,precip,tmin,tmax,tmean,dia_lluvia,dia_helada,dia_caluroso,Dolar,IPC,Desempleo,IMACEC,Precio_carne,Precio_leche,Precio_carne_1trim_mean,Precio_carne_0trim_mean,Precio_leche_1trim_mean,Precio_leche_0trim_mean,tmean_1trim_mean,tmean_0trim_mean,precip_1trim_mean,precip_0trim_mean,dia_lluvia_1trim_mean,dia_lluvia_0trim_mean,dia_helada_1trim_mean,dia_helada_0trim_mean,tmin_1trim_mean,tmin_0trim_mean,tmax_1trim_mean,tmax_0trim_mean,dia_caluroso_1trim_mean,dia_caluroso_0trim_mean
15,Temuco,2014,1,2014-01-01,1.6153846153846154,8.008333333333333,17.546051135368366,18.58076923076923,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
16,Valdivia,2014,1,2014-01-01,1.6153846153846154,8.008333333333333,17.546051135368366,18.58076923076923,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
17,Ancud,2014,2,2014-02-01,1.1304347826086956,17.679166666666667,17.546051135368366,12.44350854593152,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
18,Chimbarongo-Santiago,2014,2,2014-02-01,1.1304347826086956,17.679166666666667,17.546051135368366,12.44350854593152,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
19,Frutillar,2014,2,2014-02-01,1.1304347826086956,17.679166666666667,17.546051135368366,12.44350854593152,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
20,Futrono,2014,2,2014-02-01,1.1304347826086956,17.679166666666667,17.546051135368366,12.44350854593152,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
21,Los Lagos,2014,2,2014-02-01,1.1304347826086956,17.679166666666667,17.546051135368366,12.44350854593152,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
22,Los Muermos,2014,2,2014-02-01,1.1304347826086956,17.679166666666667,17.546051135368366,12.44350854593152,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
23,Los Ángeles,2014,2,2014-02-01,1.1304347826086956,17.679166666666667,17.546051135368366,12.44350854593152,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
24,Máfil,2014,2,2014-02-01,1.1304347826086956,8.931818181818182,24.35,17.679166666666667,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
25,Octay,2014,2,2014-02-01,1.1304347826086956,8.931818181818182,24.35,17.679166666666667,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
26,Osorno,2014,2,2014-02-01,1.1304347826086956,8.931818181818182,24.35,17.679166666666667,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
27,Panguipulli,2014,2,2014-02-01,1.1304347826086956,8.931818181818182,24.35,17.679166666666667,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
28,Puerto Montt,2014,2,2014-02-01,1.1304347826086956,8.931818181818182,24.35,17.679166666666667,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
29,Puerto Varas,2014,2,2014-02-01,1.1304347826086956,8.931818181818182,24.35,17.679166666666667,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
30,Purranque,2014,2,2014-02-01,1.1304347826086956,8.931818181818182,24.35,17.679166666666667,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
31,Río Bueno,2014,2,2014-02-01,1.1304347826086956,8.931818181818182,24.35,17.679166666666667,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
32,Temuco,2014,2,2014-02-01,1.1304347826086956,8.931818181818182,24.35,17.679166666666667,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
33,Valdivia,2014,2,2014-02-01,1.1304347826086956,8.931818181818182,24.35,17.679166666666667,5.0,0.0,0.0,554.4085,0.0,6.2,1.2,5788.461538461538,659.0,,,,,,,,,,,,,,,,,,
34,Ancud,2014,3,2014-03-01,1.7142857142857142,14.414285714285715,17.546051135368366,12.44350854593152,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
35,Chimbarongo-Santiago,2014,3,2014-03-01,1.7142857142857142,14.414285714285715,17.546051135368366,12.44350854593152,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
36,Frutillar,2014,3,2014-03-01,1.7142857142857142,14.414285714285715,17.546051135368366,12.44350854593152,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
37,Futrono,2014,3,2014-03-01,1.7142857142857142,14.414285714285715,17.546051135368366,12.44350854593152,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
38,Los Lagos,2014,3,2014-03-01,1.7142857142857142,14.414285714285715,17.546051135368366,12.44350854593152,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
39,Los Muermos,2014,3,2014-03-01,1.7142857142857142,14.414285714285715,17.546051135368366,12.44350854593152,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
40,Los Ángeles,2014,3,2014-03-01,1.7142857142857142,14.414285714285715,17.546051135368366,12.44350854593152,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
41,Máfil,2014,3,2014-03-01,1.7142857142857142,6.837037037037037,17.546051135368366,14.414285714285715,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
42,Octay,2014,3,2014-03-01,1.7142857142857142,6.837037037037037,17.546051135368366,14.414285714285715,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
43,Osorno,2014,3,2014-03-01,1.7142857142857142,6.837037037037037,17.546051135368366,14.414285714285715,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
44,Panguipulli,2014,3,2014-03-01,1.7142857142857142,6.837037037037037,17.546051135368366,14.414285714285715,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
45,Puerto Montt,2014,3,2014-03-01,1.7142857142857142,6.837037037037037,17.546051135368366,14.414285714285715,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
46,Puerto Varas,2014,3,2014-03-01,1.7142857142857142,6.837037037037037,17.546051135368366,14.414285714285715,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
47,Purranque,2014,3,2014-03-01,1.7142857142857142,6.837037037037037,17.546051135368366,14.414285714285715,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
48,Río Bueno,2014,3,2014-03-01,1.7142857142857142,6.837037037037037,17.546051135368366,14.414285714285715,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
49,Temuco,2014,3,2014-03-01,1.7142857142857142,6.837037037037037,17.546051135368366,14.414285714285715,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
50,Valdivia,2014,3,2014-03-01,1.7142857142857142,6.837037037037037,17.546051135368366,14.414285714285715,8.0,0.0,0.0,563.843333333333,1.0,6.6,1.8,5839.846153846154,676.0,,,,,,,,,,,,,,,,,,
51,Ancud,2014,4,2014-04-01,0.8791666666666665,12.291666666666666,17.546051135368366,12.44350854593152,6.0,2.0,0.0,554.640952380952,0.8,6.8,2.9,5834.153846153846,687.0,,5780.461538461539,,663.0,,12.44350854593152,,1.4867017040930086,,6.666666666666667,,0.3333333333333333,,16.891407203907203,,17.546051135368366,,0.0
52,Chimbarongo-Santiago,2014,4,2014-04-01,0.8791666666666665,12.291666666666666,17.546051135368366,12.44350854593152,6.0,2.0,0.0,554.640952380952,0.8,6.8,2.9,5834.153846153846,687.0,,5780.461538461539,,663.0,,12.44350854593152,,1.4867017040930086,,6.666666666666667,,0.3333333333333333,,16.891407203907203,,17.546051135368366,,0.0
53,Frutillar,2014,4,2014-04-01,0.8791666666666668,12.291666666666666,17.546051135368366,12.44350854593152,6.0,2.0,0.0,554.640952380952,0.8,6.8,2.9,5834.153846153846,687.0,,5780.461538461539,,663.0,,12.44350854593152,,1.4867017040930086,,6.666666666666667,,0.3333333333333333,,16.891407203907203,,17.546051135368366,,0.0
54,Futrono,2014,4,2014-04-01,0.8791666666666665,12.291666666666666,17.546051135368366,12.44350854593152,6.0,2.0,0.0,554.640952380952,0.8,6.8,2.9,5834.153846153846,687.0,,5780.461538461539,,663.0,,12.44350854593152,,1.4867017040930086,,6.666666666666667,,0.3333333333333333,,16.891407203907203,,17.546051135368366,,0.0
55,Los Lagos,2014,4,2014-04-01,0.8791666666666668,12.291666666666666,17.546051135368366,12.44350854593152,6.0,2.0,0.0,554.640952380952,0.8,6.8,2.9,5834.153846153846,687.0,,5780.461538461539,,663.0,,12.44350854593152,,1.4867017040930086,,6.666666666666667,,0.3333333333333333,,16.891407203907203,,17.546051135368366,,0.0
56,Los Muermos,2014,4,2014-04-01,0.8791666666666665,12.291666666666666,17.546051135368366,12.44350854593152,6.0,2.0,0.0,554.640952380952,0.8,6.8,2.9,5834.153846153846,687.0,,5780.461538461539,,663.0,,12.44350854593152,,1.4867017040930086,,6.666666666666667,,0.3333333333333333,,16.891407203907203,,17.546051135368366,,0.0
57,Los Ángeles,2014,4,2014-04-01,0.8791666666666665,12.291666666666666,17.546051135368366,12.44350854593152,6.0,2.0,0.0,554.640952380952,0.8,6.8,2.9,5834.153846153846,687.0,,5780.461538461539,,663.0,,12.44350854593152,,1.4867017040930086,,6.666666666666667,,0.3333333333333333,,16.891407203907203,,17.546051135368366,,0.0
58,Máfil,2014,4,2014-04-01,0.8791666666666665,5.260869565217392,15.0,12.291666666666666,6.0,2.0,0.0,554.640952380952,0.8,6.8,2.9,5834.153846153846,687.0,,5780.461538461539,,663.0,,16.891407203907203,,1.4867017040930086,,6.666666666666667,,0.3333333333333333,,7.925729517396184,,19.81403409024558,,0.0
59,Octay,2014,4,2014-04-01,0.8791666666666665,5.260869565217392,15.0,12.291666666666666,6.0,2.0,0.0,554.640952380952,0.8,6.8,2.9,5834.153846153846,687.0,,5780.461538461539,,663.0,,16.891407203907203,,1.4867017040930086,,6.666666666666667,,0.3333333333333333,,7.925729517396184,,19.81403409024558,,0.0
