,IdMaterial,IdCeSum,2021/12,2022/1,2022/10,2022/11,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,Porcentaje,Provision,LeadTime,Sucursal,ABC_Sucursal,ABC,Margen_Total,Margen_Suc,UMBase,MAPE_x,AcumProy,AcumEsp,AcumPost,MeanSupply,Trim Proy 2022/12 - 2023/2,Trim Proy 2023/3 - 2023/5,DdaProy 2022/12,DdaProy 2023/1,DdaProy 2023/2,DdaProy 2023/3,DdaProy 2023/4,DdaProy 2023/5,PeriodROP,MeanSupply2,StdSupply2,DdaAnual,Trim 2021/12 - 2022/2,Trim 2022/3 - 2022/5,Trim 2022/6 - 2022/8,Trim 2022/9 - 2022/11,MAPE_y,ServiceLevel
0,12000501,D100,1.625,0.125,3.4,5.05,0.35,1.0,0.525,2.125,2.4,0.65,0.75,2.3500000000000005,0.015708220764183715,Directo,,Chimbarongo,B,A,0.2377261817179985,0.1808913174921154,T   ,0.050310711820374845,8.699735361708175,5.75,14.600000000000001,1.4499734980059182,3.955114170170221,4.744621191537954,1.240478193747588,1.3353558471632576,1.3793388653029721,1.4858406020841377,1.6294137398687767,1.6294137398687767,,0.0,0.0,23.29984098803551,2.1,3.65,3.8,10.8,0.050310711820374845,0.95
1,12000501,D110,0.0,0.0,0.0,0.0,1.725,2.0,0.25,1.325,1.225,0.95,0.0,0.0,0.005769972983404091,Directo,,Los Angeles,B,A,0.2377261817179985,0.0485935705336829,T   ,0.050310711820374845,3.195603038268727,5.3,2.175,0.5326069728547537,1.452799922458103,1.7428031158106239,0.45565476649942105,0.4905054033191818,0.5066613276727132,0.545781744500193,0.5985192975685063,0.5985192975685063,,0.0,0.0,5.370641837128522,1.725,3.575,2.175,0.0,0.050310711820374845,0.95
2,12000501,D120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Directo,,Temuco,C,A,0.2377261817179985,0.0144442526269573,T   ,0.050310711820374845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050310711820374845,0.9
3,12000501,D160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Directo,,,B,B,,,T   ,0.050310711820374845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050310711820374845,0.95
4,12000501,D170,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023157082207641837,Directo,,,B,B,,,T   ,0.050310711820374845,0.12825162695392886,0.0,0.3,0.021375530683133928,0.05830635140300079,0.06994527555092805,0.01828714781937476,0.019685835584716326,0.020334233886530297,0.021904284060208414,0.024020841373986877,0.024020841373986877,,0.0,0.0,0.42825318409880353,0.0,0.0,0.0,0.3,0.050310711820374845,0.95
5,12000501,D180,6.425,4.775,0.4,0.15,2.525,1.375,0.45,0.85,2.5,1.85,0.4,0.4,0.017059050559629488,Directo,,Rio Bueno,A,A,0.2377261817179985,0.4514084589393065,T   ,0.050310711820374845,9.44786985227276,16.4,5.700000000000001,1.5746640936575327,4.295234553354392,5.152635298918367,1.3471532226939407,1.4501898880741029,1.4979552296410654,1.6136155924353532,1.769535314550367,1.769535314550367,,0.0,0.0,15.147984561945197,13.725,2.675,4.75,0.9500000000000001,0.050310711820374845,0.98
6,12000501,D190,23.925,17.65,24.025,28.3,17.65,17.675,23.6,26.3,20.825,38.3,34.95,28.45,0.23284446159783864,Directo,,Osorno,A,A,0.2377261817179985,0.1472259657329917,T   ,0.050310711820374845,128.95701090217545,126.8,174.85000000000002,21.493096101891158,58.627036335717285,70.32997456645815,18.38772713238132,19.794107680432266,20.446072172906213,22.024757622539557,24.152956001543803,24.152956001543803,,0.0,0.0,303.8085766113469,59.225,67.575,94.075,80.77499999999999,0.050310711820374845,0.98
7,12000501,D220,11.05,13.0,12.2,14.35,12.2,25.325,11.775,16.6,27.05,18.15,24.475,26.425,0.16410652257815514,Directo,,Purranque,A,A,0.2377261817179985,0.3560338545980842,T   ,0.050310711820374845,90.88765296801758,89.95000000000002,122.65,15.148126077447573,41.319767694259895,49.567885273757675,12.959492087996912,13.95069548436897,14.410193747587803,15.522835970667694,17.022769587032034,17.022769587032034,,0.0,0.0,213.53875646468543,36.25,53.7,69.67500000000001,52.975,0.050310711820374845,0.98
8,12000501,D230,1.0,4.8500000000000005,3.65,0.975,0.375,1.275,3.175,0.05,0.225,1.95,1.95,2.75,0.01715553840216133,Directo,,Frutillar,B,A,0.2377261817179985,0.0542375505797812,T   ,0.050310711820374845,9.50130803017023,10.725000000000001,11.5,1.5835705647755052,4.319528866438976,5.181779163731254,1.35477286761868,1.4583923195677349,1.5064278270937865,1.6227423774604404,1.779543998456195,1.779543998456195,,0.0,0.0,21.00142338865303,6.2250000000000005,4.499999999999999,4.125,7.375,0.050310711820374845,0.95
9,12000501,D240,21.275,28.5,22.975,24.9,21.425,25.1,27.575,33.05,33.05,40.25,28.775,43.35,0.2703396372057121,Directo,,Puerto Varas,A,A,0.2377261817179985,0.799324333904552,T   ,0.050310711820374845,149.72308683313244,156.925,193.29999999999998,24.954150778335265,68.0678064003865,81.65528043274593,21.348721150135084,22.981572558857586,23.73852354303358,25.571426283288307,28.042330567348515,28.042330567348515,,0.0,0.0,343.0249046700116,71.2,85.725,102.07499999999999,91.225,0.050310711820374845,0.98
