,IdMaterial,IdCeSum,2021/12,2022/1,2022/10,2022/11,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,Porcentaje,Provision,LeadTime,Sucursal,ABC_Sucursal,ABC,Margen_Total,Margen_Suc,UMBase,MAPE_x,AcumProy,AcumEsp,AcumPost,MeanSupply,Trim Proy 2022/12 - 2023/2,Trim Proy 2023/3 - 2023/5,DdaProy 2022/12,DdaProy 2023/1,DdaProy 2023/2,DdaProy 2023/3,DdaProy 2023/4,DdaProy 2023/5,PeriodROP,MeanSupply2,StdSupply2,DdaAnual,Trim 2021/12 - 2022/2,Trim 2022/3 - 2022/5,Trim 2022/6 - 2022/8,Trim 2022/9 - 2022/11,MAPE_y,ServiceLevel
0,21000458,D110,12,0,0,0,0,0,0,0,0,0,0,0,0.003701418877236274,Directo,,Los Angeles,C,A,0.0674589217238796,0.0141401053800476,L   ,0.5350495315992424,10.813166454047375,12,0,1.8021900061690317,0.18930124913637728,10.623865204910995,0.10045650832819247,0.06292412091301665,0.025909932140653916,0.15731030228254164,2.0347069710055523,8.431832202344232,,0.0,0.0,10.81314003701419,12,0,0,0,0.5350495315992424,0.9
1,21000458,D120,0,0,0,1,0,8,15,103,25,2,7,2,0.05027760641579272,Directo,,Temuco,A,A,0.0674589217238796,0.1116786080384779,L   ,0.5350495315992424,146.8788443341435,126,37,24.479747583796012,2.571341967435792,144.3075023667077,1.3645342381246146,0.8547193090684763,0.35194324491054907,2.1367982726711907,27.63810302282542,114.53238741517582,,0.0,0.0,183.87848550277607,0,126,34,3,0.5350495315992424,0.98
2,21000458,D130,0,0,0,3,0,1,5,160,10,0,0,0,0.05521283158544109,Directo,,Panguipulli,A,A,0.0674589217238796,0.1056117764239706,L   ,0.5350495315992424,161.29639960620668,166,13,26.88266759202139,2.8237436329509613,158.47265597325568,1.4984762492288712,0.9386181369524985,0.3864898210980876,2.3465453423812463,30.351045650832823,125.7748303516348,,0.0,0.0,174.29600555212835,0,166,10,3,0.5350495315992424,0.98
3,21000458,D140,0,0,0,0,0,1,5,0,54,0,-28,0,0.00987045033929673,Directo,,Mafil,B,A,0.0674589217238796,0.0702860943314409,L   ,0.5350495315992424,28.835110544126334,6,26,4.805840016450751,0.5048033310303395,28.33030721309599,0.26788402220851326,0.16779765576804442,0.06909315237507711,0.41949413942011105,5.425885256014806,22.484885872917953,,0.0,0.0,54.835040098704496,0,6,26,0,0.5350495315992424,0.95
4,21000458,D150,0,0,0,0,0,0,20,13,1,0,0,0,0.010487353485502776,Directo,,Valdivia,C,A,0.0674589217238796,0.0087531918078069,L   ,0.5350495315992424,30.63730495313423,33,1,5.106205017478923,0.5363535392197357,30.100951413914487,0.28462677359654537,0.1782850092535472,0.07341147439851943,0.445712523133868,5.765003084515731,23.890191239975326,,0.0,0.0,31.637230104873538,0,33,1,0,0.5350495315992424,0.9
5,21000458,D160,0,25,0,0,0,0,0,14,117,4,5,20,0.05706354102405922,Directo,,Los Lagos,A,A,0.0674589217238796,0.2334735057041485,L   ,0.5350495315992424,166.70298283323035,39,146,27.7837625951059,2.9183942575191497,163.78458857571118,1.5487045033929674,0.9700801974090068,0.3994447871684146,2.425200493522517,31.368399136335597,129.99074645280692,,0.0,0.0,312.7025755706354,25,14,126,20,0.5350495315992424,0.98
6,21000458,D170,1,0,0,0,0,0,3,25,0,10,0,0,0.012029611351017891,Directo,,Futrono,B,A,0.0674589217238796,0.0621481607673067,L   ,0.5350495315992424,35.142790975653966,29,10,5.857117520049353,0.6152290596932263,34.52756191596074,0.32648365206662555,0.20450339296730413,0.08420727945712524,0.5112584824182603,6.612797655768046,27.403454657618756,,0.0,0.0,45.142705120296114,1,28,10,0,0.5350495315992424,0.95
7,21000458,D180,1,0,0,4,0,27,158,134,15,1,0,0,0.10487353485502776,Directo,,Rio Bueno,B,A,0.0674589217238796,0.1163164170419017,L   ,0.5350495315992424,306.37304953134225,320,20,51.06205017478923,5.363535392197357,301.00951413914487,2.8462677359654536,1.782850092535472,0.7341147439851943,4.45712523133868,57.65003084515732,238.90191239975323,,0.0,0.0,326.3723010487354,1,319,16,4,0.5350495315992424,0.95
8,21000458,D190,0,9,0,7,6,35,149,458,107,2,0,1,0.23874151758173967,Directo,,Osorno,A,A,0.0674589217238796,0.0802793095621801,L   ,0.5350495315992424,697.4492362860557,657,117,116.24125539790252,12.209930569296334,685.2393057167592,6.479444787168415,4.058605798889574,1.6711906230721776,10.146514497223937,131.23859962985813,543.8531770512029,,0.0,0.0,814.4475323874151,15,642,109,8,0.5350495315992424,0.98
9,21000458,D220,1,6,0,0,0,0,109,430,43,-11,0,0,0.1782850092535472,Directo,,Purranque,B,A,0.0674589217238796,0.1013093212226179,L   ,0.5350495315992424,520.8341842032819,546,32,86.80548529714169,9.118010166735507,511.7161740365463,4.838655151141271,3.0308451573103024,1.2479950647748304,7.577112893275756,98.00505243676744,406.13325107958053,,0.0,0.0,552.8329117828501,7,539,32,0,0.5350495315992424,0.95
10,21000458,D230,6,0,0,0,0,0,50,127,20,4,0,1,0.06415792720542875,Directo,,Frutillar,B,A,0.0674589217238796,0.0896304803437077,L   ,0.5350495315992424,187.42821853682116,183,25,31.23796010692988,3.2812216516972064,184.1469968851239,1.7412461443553362,1.0906847624922886,0.44910549043800124,2.726711906230722,35.26825416409624,146.1517581739667,,0.0,0.0,212.42776064157928,6,177,24,1,0.5350495315992424,0.95
11,21000458,D240,1,3,0,0,0,0,66,57,27,20,0,0,0.05367057371992597,Directo,,Puerto Varas,B,A,0.0674589217238796,0.0303049816190862,L   ,0.5350495315992424,156.79091358368692,127,47,26.13175508945096,2.7448681124774708,154.04604547120942,1.4566193707587909,0.9123997532387416,0.3756940160394818,2.280999383096854,29.503251079580508,122.26156693399136,,0.0,0.0,203.79053053670575,4,123,47,0,0.5350495315992424,0.95
12,21000458,D250,0,0,0,0,0,0,97,118,15,0,0,0,0.07094386181369525,Directo,,Los Muermos,B,A,0.0674589217238796,0.0520279922952644,L   ,0.5350495315992424,207.252357035908,215,15,34.54197511823977,3.6282739417805647,203.6240830941274,1.925416409623689,1.2060456508328192,0.4966070326958667,3.015114127082048,38.99855027760642,161.61011721159778,,0.0,0.0,222.25185070943863,0,215,15,0,0.5350495315992424,0.95
13,21000458,D260,0,0,0,0,0,0,9,2,0,0,0,0,0.003392967304133251,Directo,,Puerto Montt,C,A,0.0674589217238796,0.0205778681480725,L   ,0.5350495315992424,9.912069249543427,11,0,1.6520075056549455,0.17352614504167918,9.738543104501746,0.09208513263417643,0.057680444170265265,0.023750771128932757,0.14420111042566316,1.8651480567550895,7.729179518815545,,0.0,0.0,9.912045033929672,0,11,0,0,0.5350495315992424,0.9
