,IdMaterial,IdCeSum,2021/12,2022/1,2022/10,2022/11,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,Porcentaje,Provision,LeadTime,Sucursal,ABC_Sucursal,ABC,Margen_Total,Margen_Suc,UMBase,MAPE_x,AcumProy,AcumEsp,AcumPost,MeanSupply,Trim Proy 2022/12 - 2023/2,Trim Proy 2023/3 - 2023/5,DdaProy 2022/12,DdaProy 2023/1,DdaProy 2023/2,DdaProy 2023/3,DdaProy 2023/4,DdaProy 2023/5,PeriodROP,MeanSupply2,StdSupply2,DdaAnual,Trim 2021/12 - 2022/2,Trim 2022/3 - 2022/5,Trim 2022/6 - 2022/8,Trim 2022/9 - 2022/11,MAPE_y,ServiceLevel
0,10000184,D110,5,4,10,5,3,1,3,3,2,0,6,8,0.228310502283105,Directo,,Los Angeles,C,C,0.0067147784036909,0.0185087209628801,UN  ,0.21147314161615133,33.32144680962049,19,31,5.554033485540335,16.18572964225905,17.13571716736145,5.175799086757991,5.584474885844749,5.426940639269406,5.30365296803653,5.865296803652968,5.968036529680365,,0.0,0.0,64.32420091324201,12,7,8,23,0.21147314161615133,0.9
1,10000184,D120,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,,B,B,,,UN  ,0.21147314161615133,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0.21147314161615133,0.95
2,10000184,D130,0,0,0,0,0,0,0,1,0,0,0,0,0.0045662100456621,Directo,,Panguipulli,C,C,0.0067147784036909,0.0009472778343021,UN  ,0.21147314161615133,0.6664289361924098,1,0,0.1110806697108067,0.323714592845181,0.34271434334722894,0.10351598173515981,0.11168949771689497,0.10853881278538811,0.1060730593607306,0.11730593607305936,0.1193607305936073,,0.0,0.0,0.6664840182648402,0,1,0,0,0.21147314161615133,0.9
3,10000184,D150,7,17,4,5,7,10,18,11,18,12,21,20,0.684931506849315,Directo,,Valdivia,B,C,0.0067147784036909,0.0961058827616937,UN  ,0.21147314161615133,99.96434042886148,70,80,16.662100456621005,48.55718892677715,51.407151502084346,15.527397260273974,16.753424657534246,16.28082191780822,15.910958904109588,17.595890410958905,17.904109589041095,,0.0,0.0,179.97260273972603,31,39,51,29,0.21147314161615133,0.95
4,10000184,D180,1,0,0,0,0,0,0,0,0,0,0,0,0.0045662100456621,Directo,,Rio Bueno,C,C,0.0067147784036909,0.0,UN  ,0.21147314161615133,0.6664289361924098,1,0,0.1110806697108067,0.323714592845181,0.34271434334722894,0.10351598173515981,0.11168949771689497,0.10853881278538811,0.1060730593607306,0.11730593607305936,0.1193607305936073,,0.0,0.0,0.6664840182648402,1,0,0,0,0.21147314161615133,0.9
5,10000184,D190,0,0,0,1,0,0,1,1,0,0,0,0,0.0136986301369863,Directo,,Osorno,C,C,0.0067147784036909,0.0002656154651962,UN  ,0.21147314161615133,1.9992868085772295,2,1,0.3332420091324201,0.971143778535543,1.028143030041687,0.31054794520547946,0.33506849315068493,0.3256164383561644,0.31821917808219174,0.35191780821917806,0.3580821917808219,,0.0,0.0,2.9994520547945207,0,2,0,1,0.21147314161615133,0.9
6,10000184,D220,0,0,0,0,0,0,1,0,0,0,0,0,0.0045662100456621,Directo,,Purranque,C,C,0.0067147784036909,0.0003933241051281,UN  ,0.21147314161615133,0.6664289361924098,1,0,0.1110806697108067,0.323714592845181,0.34271434334722894,0.10351598173515981,0.11168949771689497,0.10853881278538811,0.1060730593607306,0.11730593607305936,0.1193607305936073,,0.0,0.0,0.6664840182648402,0,1,0,0,0.21147314161615133,0.9
7,10000184,D240,0,0,4,1,0,0,0,4,1,2,0,0,0.0547945205479452,Directo,,Puerto Varas,C,C,0.0067147784036909,0.0034487711500191,UN  ,0.21147314161615133,7.997147234308918,4,8,1.3329680365296803,3.884575114142172,4.112572120166748,1.2421917808219178,1.3402739726027397,1.3024657534246575,1.272876712328767,1.4076712328767123,1.4323287671232876,,0.0,0.0,15.997808219178083,0,4,3,5,0.21147314161615133,0.9
8,10000184,D260,0,0,0,0,0,0,0,0,1,0,0,0,0.0045662100456621,Directo,,Puerto Montt,C,C,0.0067147784036909,0.0022381225844145,UN  ,0.21147314161615133,0.6664289361924098,0,1,0.1110806697108067,0.323714592845181,0.34271434334722894,0.10351598173515981,0.11168949771689497,0.10853881278538811,0.1060730593607306,0.11730593607305936,0.1193607305936073,,0.0,0.0,1.6664840182648402,0,0,1,0,0.21147314161615133,0.9
