,IdMaterial,IdCeSum,2021/12,2022/1,2022/10,2022/11,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,Porcentaje,Provision,LeadTime,Sucursal,ABC_Sucursal,ABC,Margen_Total,Margen_Suc,UMBase,MAPE_x,AcumProy,AcumEsp,AcumPost,MeanSupply,Trim Proy 2022/12 - 2023/2,Trim Proy 2023/3 - 2023/5,DdaProy 2022/12,DdaProy 2023/1,DdaProy 2023/2,DdaProy 2023/3,DdaProy 2023/4,DdaProy 2023/5,PeriodROP,MeanSupply2,StdSupply2,DdaAnual,Trim 2021/12 - 2022/2,Trim 2022/3 - 2022/5,Trim 2022/6 - 2022/8,Trim 2022/9 - 2022/11,MAPE_y,ServiceLevel
0,22000536,D110,25,0.0,0,0,0,0,0,0,0,0,0,0,0.003780947051617489,Directo,,Los Angeles,C,A,0.0868829762715435,0.0062131023966883,KG  ,0.6511429709806583,11.922165423995402,25.0,0,1.9870263103502162,6.192393490721555,5.729771933273846,2.3342432812570895,1.9107772114759305,1.9473767789355876,1.9166376794059377,1.9088111190090895,1.9043117920176647,,0.0,0.0,11.922157862101297,25.0,0,0,0,0.6511429709806583,0.9
1,22000536,D120,0,10.0,335,20,0,0,0,0,0,0,345,65,0.11720935860014216,Directo,,Temuco,A,A,0.0868829762715435,0.1906346001017749,KG  ,0.6511429709806583,369.5871281438574,10.0,765,61.597815620856714,191.9641982123682,177.62292993148924,72.36154171896976,59.234093555753844,60.36868014700321,59.41576806158407,59.17314468928177,59.0336655525476,,0.0,0.0,1134.5868937251403,10.0,0,345,420,0.6511429709806583,0.98
2,22000536,D130,0,0.0,5,50,0,0,0,0,0,0,0,20,0.011342841154852467,Directo,,,B,B,,,KG  ,0.6511429709806583,35.766496271986206,0.0,75,5.96107893105065,18.577180472164663,17.18931579982154,7.0027298437712675,5.7323316344277915,5.842130336806763,5.749913038217813,5.726433357027268,5.712935376052994,,0.0,0.0,110.7664735863039,0.0,0,0,75,0.6511429709806583,0.95
3,22000536,D140,0,0.0,50,0,0,0,0,0,0,0,0,51,0.015275026088534656,Directo,,Mafil,A,A,0.0868829762715435,0.2055408969252287,KG  ,0.6511429709806583,48.16554831294142,0.0,101,8.027586293814876,25.017269702515083,23.14827861042634,9.43034285627864,7.719539934362759,7.867402186899774,7.743216224799988,7.711596920796722,7.693419639751365,,0.0,0.0,149.16551776288924,0.0,0,0,101,0.6511429709806583,0.98
4,22000536,D150,0,0.0,0,10,0,0,0,0,0,0,0,5,0.0022685682309704935,Directo,,,B,B,,,KG  ,0.6511429709806583,7.153299254397241,0.0,15,1.19221578621013,3.715436094432933,3.4378631599643077,1.4005459687542536,1.1464663268855584,1.1684260673613525,1.1499826076435626,1.1452866714054537,1.1425870752105989,,0.0,0.0,22.153294717260778,0.0,0,0,15,0.6511429709806583,0.95
5,22000536,D160,0,0.0,230,10,0,0,0,0,0,0,0,75,0.04763993285038036,Directo,,Los Lagos,B,A,0.0868829762715435,0.12291049712932,KG  ,0.6511429709806583,150.21928434234204,0.0,315,25.036531510412726,78.02415798309158,72.19512635925045,29.41146534383932,24.07579286459672,24.5369474145884,24.14963476051481,24.051020099514524,23.99432857942257,,0.0,0.0,465.21918906247635,0.0,0,0,315,0.6511429709806583,0.95
6,22000536,D170,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,Futrono,B,A,0.0868829762715435,0.0668325488452389,KG  ,0.6511429709806583,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0.6511429709806583,0.95
7,22000536,D180,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,Rio Bueno,C,A,0.0868829762715435,0.0075939529119925,KG  ,0.6511429709806583,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0.6511429709806583,0.9
8,22000536,D190,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,Osorno,A,A,0.0868829762715435,0.0842912229529096,KG  ,0.6511429709806583,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0.6511429709806583,0.98
10,22000536,D220,0,0.0,60,0,0,21,0,0,0,0,320,740,0.1725624234358222,Directo,,Purranque,A,A,0.0868829762715435,0.5539968251656626,KG  ,0.6511429709806583,544.1276299511501,21.0,1120,90.6878808043839,282.6208389165318,261.50679103461835,106.53486335657355,87.20787193176147,88.87827619062021,87.475343688087,87.11813947157485,86.91279018768621,,0.0,0.0,1664.1272848263034,0.0,21,320,800,0.6511429709806583,0.98
11,22000536,D230,0,0.0,49,-50,0,0,0,0,0,0,0,310,0.04673250555799216,Directo,,Frutillar,C,A,0.0868829762715435,0.0298696257679143,KG  ,0.6511429709806583,147.35796464058313,0.0,309,24.55964519592867,76.53798354531841,70.81998109526474,28.85124695633762,23.6172063338425,24.06957698764386,23.689641717457388,23.592905430952342,23.537293749338332,,0.0,0.0,456.35787117557203,0.0,0,0,309,0.6511429709806583,0.9
12,22000536,D240,0,0.0,263,0,8,0,0,0,0,0,0,42,0.047337457086250964,Directo,,Puerto Varas,B,A,0.0868829762715435,0.0232390294574156,KG  ,0.6511429709806583,149.26551110842243,8.0,305,24.877569405584712,77.52876650383386,71.73674460458855,29.22472588133876,23.92293068767865,24.38115727227356,23.99630374616234,23.8983152099938,23.841983636061162,,0.0,0.0,454.2654164335083,8.0,0,0,305,0.6511429709806583,0.95
13,22000536,D250,0,0.0,91,59,59,21,0,4,0,4,0,121,0.05429439966122714,Directo,,Los Muermos,C,A,0.0868829762715435,0.032262753940893,KG  ,0.6511429709806583,171.20229548857395,84.0,275,28.533697816629104,88.92277052676152,82.27952496181243,33.5197335188518,27.438760756794363,27.964330545515036,27.522917076269263,27.410527668970524,27.345917333373663,,0.0,0.0,446.20218689977463,59.0,25,4,271,0.6511429709806583,0.9
14,22000536,D260,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,Puerto Montt,C,A,0.0868829762715435,0.0182538323006376,KG  ,0.6511429709806583,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0.6511429709806583,0.9
15,22000536,D270,0,2.1,43,0,0,0,0,0,0,0,0,0,0.00682082848111795,Directo,,Ancud,C,A,0.0868829762715435,0.0319906536289369,KG  ,0.6511429709806583,21.507586424887705,2.1,43,3.5845954638717905,11.171077857261684,10.33650856762602,4.210974879387789,3.4470420895025784,3.5130677091998,3.4576143736483114,3.4434952586923973,3.435378472799867,,0.0,0.0,64.50757278323074,2.1,0,0,43,0.6511429709806583,0.9
