,IdMaterial,IdCeSum,2021/12,2022/1,2022/10,2022/11,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,Porcentaje,Provision,LeadTime,Sucursal,ABC_Sucursal,ABC,Margen_Total,Margen_Suc,UMBase,MAPE,AcumProy,AcumEsp,AcumPost,MeanSupply,Trim Proy 2022/12 - 2023/2,Trim Proy 2023/3 - 2023/5,DdaProy 2022/12,DdaProy 2023/1,DdaProy 2023/2,DdaProy 2023/3,DdaProy 2023/4,DdaProy 2023/5,PeriodROP,MeanSupply2,StdSupply2,DdaAnual,Trim 2021/12 - 2022/2,Trim 2022/3 - 2022/5,Trim 2022/6 - 2022/8,Trim 2022/9 - 2022/11
0,14000080,D090,4.319999999999999,4.800000000000001,3.675,5.535,4.56,4.29,4.574999999999999,5.385,5.91,7.17,4.8,5.445,0.5502320502320502,Directo,120,Santiago,A,A,0.316534697701273,4.7553158691513815,T   ,0.12596179889420134,34.403330424805,27.93,32.535,5.7338884041341664,17.0191214197851,17.3842090050199,5.408781053781054,6.091068796068797,5.5188274638274635,5.755427245427246,5.7994458094458095,5.832459732459732,4.0,24.127308581308583,1.8482121890361027,66.94101010101011,13.68,14.249999999999998,17.88,14.655000000000001
1,14000080,D100,0.915,1.44,1.26,2.34,0.78,1.785,1.17,1.935,2.19,4.08,0.8399999999999999,0.915,0.1788151788151788,Directo,120,Chimbarongo,A,A,0.316534697701273,1.8474634102925256,T   ,0.12596179889420134,11.180442286404006,8.025,11.624999999999998,1.863407047734001,5.53089780697556,5.649544479428447,1.7577532077532076,1.9794840294840295,1.7935162435162433,1.8704067704067704,1.8847119847119844,1.8954408954408952,4.0,7.840926380926381,0.6006345739611249,22.80631313131313,3.135,4.890000000000001,7.109999999999999,4.515
2,14000080,D110,0.27,1.065,0.735,1.575,0.75,1.125,1.215,1.365,1.2000000000000002,1.635,1.905,0.525,0.12162162162162163,Directo,120,Los Angeles,A,A,0.316534697701273,0.3997657297050746,T   ,0.12596179889420134,7.604407692508374,5.79,7.575000000000001,1.2674012820847291,3.7618549206223086,3.842552771886066,1.1955405405405406,1.3463513513513514,1.219864864864865,1.2721621621621624,1.2818918918918918,1.2891891891891891,4.0,5.333027027027027,0.4085232102285209,15.179999999999998,2.085,3.705,4.74,2.835
3,14000080,D120,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.015,0.0,0.045,0.015,0.0,0.0008190008190008189,Centralizado,9,Temuco,C,A,0.316534697701273,0.0132554091080282,T   ,0.12596179889420134,0.051208132609483994,0.03,0.06,0.008534688768247332,0.02533235636782699,0.02587577624165701,0.00805077805077805,0.009066339066339066,0.008214578214578213,0.008566748566748567,0.008632268632268632,0.008681408681408681,1.0,0.004293748293748293,0.0009257337240162782,0.1112121212121212,0.0,0.03,0.06,0.0
4,14000080,D130,0.06,0.0,0.045,0.015,0.045,0.0,0.0,0.0,0.015,0.03,0.0,0.06,0.002457002457002457,Centralizado,9,Panguipulli,B,A,0.316534697701273,0.0604324008877325,T   ,0.12596179889420134,0.153624397828452,0.105,0.16499999999999998,0.025604066304742,0.07599706910348097,0.07762732872497102,0.024152334152334153,0.027199017199017197,0.024643734643734642,0.025700245700245702,0.025896805896805895,0.026044226044226043,1.0,0.012881244881244881,0.002777201172048835,0.31863636363636366,0.105,0.0,0.045,0.12
5,14000080,D150,0.435,0.375,0.075,0.255,0.36,0.075,0.075,0.735,0.225,0.405,0.12,0.105,0.02948402948402948,Centralizado,9,Valdivia,A,A,0.316534697701273,0.2049775373424208,T   ,0.12596179889420134,1.8434927739414237,2.0549999999999997,1.185,0.307248795656904,0.9119648292417717,0.9315279446996523,0.2898280098280098,0.32638820638820637,0.2957248157248157,0.3084029484029484,0.3107616707616707,0.3125307125307125,1.0,0.15457493857493856,0.033326414064586016,3.028636363636364,1.17,0.885,0.75,0.435
6,14000080,D170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Centralizado,9,,B,B,,,T   ,0.12596179889420134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,14000080,D180,0.09,0.93,0.03,0.09,0.06,0.675,0.24,0.495,0.99,0.48,0.015,0.27,0.039721539721539724,Centralizado,9,Rio Bueno,A,A,0.316534697701273,0.2595795547167783,T   ,0.12596179889420134,2.483594431559974,2.49,1.875,0.4139324052599957,1.2286192838396093,1.254975147720365,0.39046273546273547,0.4397174447174448,0.3984070434070434,0.41548730548730556,0.41866502866502864,0.4210483210483211,1.0,0.20824679224679224,0.044898085614789494,4.35878787878788,1.08,1.4100000000000001,1.4849999999999999,0.39
8,14000080,D190,0.045,0.015,0.045,0.0,0.06,0.03,0.03,0.09,0.06,0.015,0.045,0.045,0.004368004368004367,Centralizado,9,Osorno,B,A,0.316534697701273,0.0142517093213849,T   ,0.12596179889420134,0.27311004058391464,0.27,0.20999999999999996,0.0455183400973191,0.1351059006284106,0.13800413995550403,0.04293748293748293,0.04835380835380835,0.043811083811083805,0.04568932568932569,0.04603876603876603,0.04630084630084629,1.0,0.022899990899990896,0.004937246528086817,0.483131313131313,0.12,0.15,0.12,0.09
9,14000080,D210,0.0,0.015,0.0,1.35,0.0,0.0,0.0,0.66,0.0,0.975,0.57,0.0,0.03248703248703249,Centralizado,120,,B,B,,,T   ,0.12596179889420134,2.0312559268428654,0.675,2.895,0.33854265447381093,1.004850135923804,1.0264057909190616,0.31934752934752936,0.35963144963144966,0.32584493584493585,0.33981435981435987,0.3424133224133224,0.3443625443625444,4.0,1.4245347165347166,0.10912292259751737,4.926414141414142,0.015,0.66,1.545,1.35
10,14000080,D230,0.015,0.03,0.03,0.045,0.045,0.03,0.0,0.045,0.045,0.06,0.09,0.06,0.0045045045045045045,Centralizado,9,Frutillar,B,A,0.316534697701273,0.0555649965319704,T   ,0.12596179889420134,0.281644729352162,0.16499999999999998,0.33,0.04694078822536033,0.13932796002304845,0.14231676932911355,0.04427927927927928,0.04986486486486487,0.04518018018018018,0.04711711711711712,0.04747747747747747,0.047747747747747746,1.0,0.023615615615615614,0.00509153548208953,0.6116666666666667,0.09,0.075,0.195,0.135
11,14000080,D240,0.12,0.435,0.015,0.225,0.165,0.315,0.405,0.42,0.315,0.465,0.3,0.24,0.031122031122031123,Centralizado,9,Puerto Varas,A,A,0.316534697701273,0.1671785281617645,T   ,0.12596179889420134,1.945909039160392,1.8599999999999999,1.56,0.3243181731933987,0.9626295419774257,0.9832794971829664,0.30592956592956594,0.34452088452088453,0.3121539721539721,0.32553644553644556,0.328026208026208,0.3298935298935299,1.0,0.16316243516243517,0.035177881512618574,3.506060606060606,0.72,1.14,1.08,0.48
12,14000080,D250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Centralizado,9,,B,B,,,T   ,0.12596179889420134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14000080,D260,0.0,0.0,0.075,0.0,0.0,0.015,0.09,0.045,0.03,0.105,0.045,0.075,0.004368004368004367,Centralizado,9,Puerto Montt,B,A,0.316534697701273,0.1489845424419399,T   ,0.12596179889420134,0.27311004058391464,0.15,0.33,0.0455183400973191,0.1351059006284106,0.13800413995550403,0.04293748293748293,0.04835380835380835,0.043811083811083805,0.04568932568932569,0.04603876603876603,0.04630084630084629,1.0,0.022899990899990896,0.004937246528086817,0.603131313131313,0.0,0.15,0.18,0.15
14,14000080,D270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Centralizado,9,Ancud,C,A,0.316534697701273,0.0025367792693735,T   ,0.12596179889420134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
