,IdMaterial,MesPeriodo,IdPeriodo,Periodo,IdCeSum,CentroSuministrador,CtdadUMBase,UMBase,precip,tmin,tmax,tmean,dia_lluvia,dia_helada,dia_caluroso,Dolar,IPC,Desempleo,IMACEC,Precio_carne,Precio_leche,Precio_carne_1trim_mean,Precio_carne_0trim_mean,Precio_leche_1trim_mean,Precio_leche_0trim_mean,tmean_1trim_mean,tmean_0trim_mean,precip_1trim_mean,precip_0trim_mean,dia_lluvia_1trim_mean,dia_lluvia_0trim_mean,dia_helada_1trim_mean,dia_helada_0trim_mean,tmin_1trim_mean,tmin_0trim_mean,tmax_1trim_mean,tmax_0trim_mean,dia_caluroso_1trim_mean,dia_caluroso_0trim_mean
28431,10000048,3,2022-03-01,2022,D210,CDO Octay,0.0,UN  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28432,10000048,4,2022-04-01,2022,D210,CDO Octay,0.0,UN  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28433,10000048,5,2022-05-01,2022,D210,CDO Octay,0.0,UN  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28434,10000048,6,2022-06-01,2022,D210,CDO Octay,0.0,UN  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28435,10000048,7,2022-07-01,2022,D210,CDO Octay,0.0,UN  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28436,10000048,8,2022-08-01,2022,D210,CDO Octay,0.0,UN  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28437,10000048,9,2022-09-01,2022,D210,CDO Octay,0.0,UN  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28438,10000048,10,2022-10-01,2022,D210,CDO Octay,0.0,UN  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28439,10000048,11,2022-11-01,2022,D210,CDO Octay,0.0,UN  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28440,10000048,12,2022-12-01,2022,D210,CDO Octay,0.0,UN  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28441,10000048,12,2014-12-01,2014,D220,Purranque,773.0,UN  ,0.4148148148148148,7.530769230769231,22.1,16.814814814814813,3.0,0.0,0.0,612.919,0.2,6.2,1.7,6154.533333333334,702.0,5848.4170940170925,5995.488888888889,712.6666666666666,711.6666666666666,12.140794291188726,12.50575641025641,2.7180964750334184,3.5308888888888887,0.6666666666666666,9.333333333333334,0.0,1.3333333333333333,7.416702936373078,5.726251748251748,17.469781369288242,18.67985424619216,0.0,0.0
28442,10000048,1,2015-01-01,2015,D220,Purranque,123.0,UN  ,0.0968051628386595,11.082537629830185,23.039594720610467,16.770731234435242,0.0,0.0,2.0,620.909523809524,0.1,6.2,2.0,6117.0,697.0,5817.781196581197,6112.2,716.3333333333334,705.6666666666666,11.411600849298068,14.673194681861348,3.666984745453218,1.496938271604938,5.666666666666667,5.333333333333333,0.6666666666666666,0.6666666666666666,6.0219878318229005,6.722871794871796,17.46978136928824,20.22326045642941,0.0,0.0
28443,10000048,2,2015-02-01,2015,D220,Purranque,3.0,UN  ,0.2202300882609215,10.495901559308123,22.53824858344799,16.00570066949709,2.0,0.0,0.0,623.6175,0.4,6.2,2.5,6209.0,697.0,5845.444444444445,6136.177777777778,714.0,702.0,11.519574074074072,15.98877176000643,3.487650793650793,0.4852066592178247,8.0,3.0,1.3333333333333333,0.0,5.174969696969694,8.355717671481857,17.469781369288242,22.07986490687016,0.0,0.6666666666666666
